"";"year";"Jan";"Feb";"Mar";"Apr";"May";"Jun";"Jul";"Aug";"Sep";"Oct";"Nov";"Dec"
"1";1975;16,4;16,9;14,8;13,4;11,7;11,2;10;9,8;10,6;11,8;13,2;15,1
"2";1976;16,7;16,2;13,9;12,2;11,6;10,5;9,9;11,2;11,4;13,5;15,2;17,4
"3";1977;18,1;17,3;16,1;14,6;12,8;11,1;10,8;11;11,7;13,1;14,4;16,3
"4";1978;16,6;16,7;15,1;14,1;11,8;10,7;12,2;10,3;12,3;13,3;15,6;16,6
"5";1979;16,9;17,3;15,9;14,8;12,7;10,4;11;11,7;12,1;12,4;14,6;17
"6";1980;17,7;18,6;17,5;15,8;13,5;11,1;11,1;11,5;11,8;13,2;13,8;16,1
"7";1981;17,2;17,4;16,3;14,2;14,4;10,5;10,9;11;11,8;13;14,3;15,2
"8";1982;17,2;17,1;16,3;13,7;13,3;12,7;12,2;12;13,7;14,4;14,8;17,1
"9";1983;19,5;18,7;16,8;14,9;13,3;11,3;11,3;11,5;11,6;12,8;14,3;16,8
"10";1984;17,7;16,3;16,2;13,5;11,1;9,9;11,3;11,2;12,5;13,6;14,7;15,8
"11";1985;17,8;17,2;16,9;13;11,6;11,2;10,9;10,5;12,2;13,9;14,8;16,5
"12";1986;17,3;17,6;15,2;13,4;13,1;11,9;10,5;11,5;11,9;14,4;15,1;16,7
"13";1987;17,1;17,7;17,2;14,5;12,5;10,8;12;12,4;12,2;14;15,1;15,7
"14";1988;16,2;17,1;15,8;14,3;11,5;10,3;10,1;11;11;12,3;13,5;14,9
"15";1989;16,9;16,9;15;13,1;11,5;10,9;11;11,8;11,5;12,7;14,2;16,6
"16";1990;16,7;16,9;15,1;13,9;11,8;9,9;9,9;10,9;11,9;12,4;13,7;15,5
"17";1991;16,6;16,1;15,9;14,6;13,4;12,1;11,5;10,8;12,9;12,9;14,3;16
"18";1992;17,3;17,2;17,1;14,9;12,9;11,5;10,1;10,2;12,1;12,7;14,5;16
"19";1993;17,3;16,6;16,1;15,1;12;11;9,8;10,4;11,4;12,7;14;15,4
"20";1994;16,7;16;16,1;13,5;12,2;10,9;10,6;11;12,8;13,7;14,5;16,5
"21";1995;NA;NA;NA;13,6;12,5;11,8;9,7;10,1;11,7;12,5;13,9;15,9
"22";1996;16,7;16;15,6;13,4;11,4;10,1;11,1;11,7;11,8;13,2;14,5;16,2
"23";1997;17,8;16,9;17,3;15,7;14,8;13,7;12,2;12,7;13,3;14,2;15,7;17,7
"24";1998;18,4;18,1;17;15,3;13,4;12,2;10,8;10,8;11,7;12,6;14;15,5
"25";1999;16,6;17,8;15,4;13,3;12,4;11,7;9,7;11;12,3;13,5;14,6;15,9
"26";2000;16,4;16,7;14,9;13,5;12;11,3;10,5;11;12,1;12,9;14,4;15,9
"27";2001;16,8;17,7;16,2;14,8;12,1;10,4;11,3;11,4;11,4;13,1;14,2;16,4
"28";2002;17,2;17,2;16,9;14,8;13,2;10,6;10,2;11,5;12,2;13,1;14,2;15,7
"29";2003;16,7;16;15,7;13,2;12;12,2;10,3;10,6;11,5;13,3;15,2;15,1
"30";2004;16,6;16,7;16,2;14,5;11,2;10,7;10,7;11,6;12,2;12,8;14,3;15,7
"31";2005;17;17,5;16,7;12,9;12;11,9;10,9;11,8;11,8;12,6;13,9;15,6
"32";2006;17,7;18,2;15;13,1;12,6;11,2;12,4;11,3;12,9;13,8;14,3;15,6
"33";2007;18;17,6;15,5;14;11,9;9,6;9,7;9,2;10,5;12,3;13,6;15
"34";2008;17,1;17,9;16,1;13,3;12;10,2;10,6;11;11,7;12,9;14,8;16,8
"35";2009;16,9;16,5;15,8;13,9;12,7;10,7;9,7;11,1;11,3;12,9;13,9;14,7
"36";2010;16,6;16,6;16,2;13,1;12,4;10,5;9,3;10,2;NA;12,5;14,1;14,7
"37";2011;16,9;17,5;16,2;13,5;11,4;11,2;10;10,5;11,4;12,5;14,1;16,3
"38";2012;18;17,7;15,9;15,1;13;11,5;9,8;11;12;12,9;14,5;16,5
"39";2013;18;18;15,1;13,3;12,8;10,8;10,1;11,1;12;12,4;14,2;16,3
"40";2014;18,3;16,9;14,6;13,1;12;10,9;10,8;11,2;12,2;13,4;13,8;15,2
"41";2015;16,8;17,4;17,7;15,4;13;11,1;11;12,4;13,1;14;15;16,2
"42";2016;19;18,4;16,7;15,6;14,1;11,6;11,7;11,7;12;14,2;15,6;17,4
"43";2017;18,9;18,9;16,7;14,7;13,6;11,9;10,8;11,3;12;12,8;14,6;16,1
